,"Area
Code",St,Cnty,Own,NAICS,Year,Qtr,Area Type,St Name,Area,Ownership,Industry,Status Code,Establishment Count,January Employment,February Employment,March Employment,Total Quarterly Wages,Average Weekly Wage,Employment Location Quotient Relative to U.S.,Total Wage Location Quotient Relative to U.S.
7070,13000,13,0.0,5,102,2021,1,State,Georgia,Georgia -- Statewide,Private,102 Service-providing,,280782,3095194,3124425,3140291,50024968002,1233,1.02,1.04
7071,13000,13,0.0,5,1021,2021,1,State,Georgia,Georgia -- Statewide,Private,"1021 Trade, transportation, and utilities",,66506,930493,932895,934838,12465411160,1028,1.11,1.2
7072,13000,13,0.0,5,1022,2021,1,State,Georgia,Georgia -- Statewide,Private,1022 Information,,6334,113794,118607,121664,4128991395,2691,1.41,1.28
7073,13000,13,0.0,5,1023,2021,1,State,Georgia,Georgia -- Statewide,Private,1023 Financial activities,,30066,242866,244070,245085,7263480080,2290,0.95,0.85
7074,13000,13,0.0,5,1024,2021,1,State,Georgia,Georgia -- Statewide,Private,1024 Professional and business services,,64012,706752,716117,715395,14655839354,1582,1.1,1.09
7075,13000,13,0.0,5,1025,2021,1,State,Georgia,Georgia -- Statewide,Private,1025 Education and health services,,33111,566908,570596,572362,7867410690,1062,0.81,0.9
7076,13000,13,0.0,5,1026,2021,1,State,Georgia,Georgia -- Statewide,Private,1026 Leisure and hospitality,,28034,414423,420639,427809,2251348654,411,1.06,1.0
7077,13000,13,0.0,5,1027,2021,1,State,Georgia,Georgia -- Statewide,Private,1027 Other services,,20212,102715,102745,103564,1049779330,784,0.83,0.84
7078,13000,13,0.0,5,1029,2021,1,State,Georgia,Georgia -- Statewide,Private,1029 Unclassified,,32507,17243,18756,19574,342707339,1423,3.32,4.01
9924,15000,15,0.0,0,10,2021,1,State,Hawaii,Hawaii -- Statewide,Total Covered,"10 Total, all industries",,47841,551688,558967,566497,7915788357,1089,1.0,1.0
9925,15000,15,0.0,1,10,2021,1,State,Hawaii,Hawaii -- Statewide,Federal Government,"10 Total, all industries",,352,34662,34523,34569,676709696,1505,2.99,3.39
9926,15000,15,0.0,2,10,2021,1,State,Hawaii,Hawaii -- Statewide,State Government,"10 Total, all industries",,1310,62184,63933,64282,956457412,1159,3.44,3.78
9927,15000,15,0.0,3,10,2021,1,State,Hawaii,Hawaii -- Statewide,Local Government,"10 Total, all industries",,260,18630,18617,18562,362649021,1500,0.33,0.56
9928,15000,15,0.0,5,10,2021,1,State,Hawaii,Hawaii -- Statewide,Private,"10 Total, all industries",,45919,436212,441894,449084,5919972228,1029,0.93,0.87
9929,15000,15,0.0,5,101,2021,1,State,Hawaii,Hawaii -- Statewide,Private,101 Goods-producing,,5605,53542,54159,54278,867956134,1237,0.64,0.7
9930,15000,15,0.0,5,1011,2021,1,State,Hawaii,Hawaii -- Statewide,Private,1011 Natural resources and mining,N,537,0,0,0,0,0,0.0,0.0
9931,15000,15,0.0,5,1012,2021,1,State,Hawaii,Hawaii -- Statewide,Private,1012 Construction,,4006,35889,36462,36607,673147114,1426,1.27,1.76
9932,15000,15,0.0,5,1013,2021,1,State,Hawaii,Hawaii -- Statewide,Private,1013 Manufacturing,N,1062,0,0,0,0,0,0.0,0.0
9933,15000,15,0.0,5,102,2021,1,State,Hawaii,Hawaii -- Statewide,Private,102 Service-providing,,40314,382670,387735,394806,5052016094,1001,1.0,0.91
9934,15000,15,0.0,5,1021,2021,1,State,Hawaii,Hawaii -- Statewide,Private,"1021 Trade, transportation, and utilities",,8000,103654,103183,103772,1245757965,926,0.95,1.03
9935,15000,15,0.0,5,1022,2021,1,State,Hawaii,Hawaii -- Statewide,Private,1022 Information,,1001,7226,8211,8637,157132874,1506,0.78,0.42
9936,15000,15,0.0,5,1023,2021,1,State,Hawaii,Hawaii -- Statewide,Private,1023 Financial activities,,3928,26086,26186,26352,585857243,1720,0.79,0.59
9937,15000,15,0.0,5,1024,2021,1,State,Hawaii,Hawaii -- Statewide,Private,1024 Professional and business services,,8619,64172,65278,65998,988861134,1168,0.79,0.63
9938,15000,15,0.0,5,1025,2021,1,State,Hawaii,Hawaii -- Statewide,Private,1025 Education and health services,,6060,82713,83539,84198,1186803304,1094,0.92,1.17
9939,15000,15,0.0,5,1026,2021,1,State,Hawaii,Hawaii -- Statewide,Private,1026 Leisure and hospitality,,5201,74947,76979,81172,613100190,607,1.57,2.35
9940,15000,15,0.0,5,1027,2021,1,State,Hawaii,Hawaii -- Statewide,Private,1027 Other services,,4369,21641,21963,22201,228325846,801,1.37,1.57
9941,15000,15,0.0,5,1029,2021,1,State,Hawaii,Hawaii -- Statewide,Private,1029 Unclassified,,3136,2231,2396,2476,46177538,1500,3.26,4.64
10028,16000,16,0.0,0,10,2021,1,State,Idaho,Idaho -- Statewide,Total Covered,"10 Total, all industries",,74687,752339,761668,769768,8958384680,905,1.0,1.0
10029,16000,16,0.0,1,10,2021,1,State,Idaho,Idaho -- Statewide,Federal Government,"10 Total, all industries",,632,12453,12465,12591,213691313,1315,0.8,0.95
10030,16000,16,0.0,2,10,2021,1,State,Idaho,Idaho -- Statewide,State Government,"10 Total, all industries",,495,24946,25656,25744,298700236,903,1.01,1.04
10031,16000,16,0.0,3,10,2021,1,State,Idaho,Idaho -- Statewide,Local Government,"10 Total, all industries",,1684,79089,80629,81141,796268882,763,1.08,1.09
10032,16000,16,0.0,5,10,2021,1,State,Idaho,Idaho -- Statewide,Private,"10 Total, all industries",,71876,635851,642918,650292,7649724249,915,1.0,0.99
10033,16000,16,0.0,5,101,2021,1,State,Idaho,Idaho -- Statewide,Private,101 Goods-producing,,15706,144127,145925,149147,1861489036,978,1.3,1.32
10034,16000,16,0.0,5,1011,2021,1,State,Idaho,Idaho -- Statewide,Private,1011 Natural resources and mining,,2606,22930,23314,24713,255576502,831,2.76,2.62
10035,16000,16,0.0,5,1012,2021,1,State,Idaho,Idaho -- Statewide,Private,1012 Construction,,10022,52275,53294,54782,609094997,877,1.4,1.41
10036,16000,16,0.0,5,1013,2021,1,State,Idaho,Idaho -- Statewide,Private,1013 Manufacturing,,3078,68922,69317,69652,996817537,1107,1.04,1.14
10037,16000,16,0.0,5,102,2021,1,State,Idaho,Idaho -- Statewide,Private,102 Service-providing,,56170,491724,496993,501145,5788235213,897,0.93,0.92
10038,16000,16,0.0,5,1021,2021,1,State,Idaho,Idaho -- Statewide,Private,"1021 Trade, transportation, and utilities",,13485,149853,150825,151931,1681451877,857,1.03,1.23
10039,16000,16,0.0,5,1022,2021,1,State,Idaho,Idaho -- Statewide,Private,1022 Information,,1574,7363,7423,7443,156021208,1620,0.49,0.37
10040,16000,16,0.0,5,1023,2021,1,State,Idaho,Idaho -- Statewide,Private,1023 Financial activities,,7055,35133,35370,35461,683273988,1488,0.78,0.61
10041,16000,16,0.0,5,1024,2021,1,State,Idaho,Idaho -- Statewide,Private,1024 Professional and business services,,14398,96488,98004,98823,1538662334,1211,0.87,0.87
10042,16000,16,0.0,5,1025,2021,1,State,Idaho,Idaho -- Statewide,Private,1025 Education and health services,,9874,109824,110566,110891,1213201104,845,0.9,1.06
10043,16000,16,0.0,5,1026,2021,1,State,Idaho,Idaho -- Statewide,Private,1026 Leisure and hospitality,,5438,74682,76305,77868,354740422,358,1.11,1.2
10044,16000,16,0.0,5,1027,2021,1,State,Idaho,Idaho -- Statewide,Private,1027 Other services,,4346,18381,18500,18728,160884280,668,0.85,0.98
10809,17000,17,0.0,0,10,2021,1,State,Illinois,Illinois -- Statewide,Total Covered,"10 Total, all industries",,384688,5455503,5498488,5562216,99148665704,1385,1.0,1.0
10810,17000,17,0.0,1,10,2021,1,State,Illinois,Illinois -- Statewide,Federal Government,"10 Total, all industries",,2128,79823,79585,79417,1553555928,1501,0.7,0.62
10811,17000,17,0.0,2,10,2021,1,State,Illinois,Illinois -- Statewide,State Government,"10 Total, all industries",,145,116948,117052,117734,2174956975,1427,0.64,0.69
10812,17000,17,0.0,3,10,2021,1,State,Illinois,Illinois -- Statewide,Local Government,"10 Total, all industries",,6357,531606,542387,548943,7574311282,1077,1.01,0.94
10813,17000,17,0.0,5,10,2021,1,State,Illinois,Illinois -- Statewide,Private,"10 Total, all industries",,376058,4727126,4759464,4816122,87845841519,1417,1.02,1.03
10814,17000,17,0.0,5,101,2021,1,State,Illinois,Illinois -- Statewide,Private,101 Goods-producing,,53869,766514,761614,780430,15297666371,1529,0.94,0.98
10815,17000,17,0.0,5,1011,2021,1,State,Illinois,Illinois -- Statewide,Private,1011 Natural resources and mining,,2836,21499,21352,22641,289545715,1020,0.35,0.27
10816,17000,17,0.0,5,1012,2021,1,State,Illinois,Illinois -- Statewide,Private,1012 Construction,,32694,195046,189050,204268,3591675571,1409,0.72,0.75
10817,17000,17,0.0,5,1013,2021,1,State,Illinois,Illinois -- Statewide,Private,1013 Manufacturing,,18339,549969,551212,553521,11416445085,1592,1.15,1.17
10818,17000,17,0.0,5,102,2021,1,State,Illinois,Illinois -- Statewide,Private,102 Service-providing,,322189,3960612,3997850,4035692,72548175148,1396,1.04,1.04
10819,17000,17,0.0,5,1021,2021,1,State,Illinois,Illinois -- Statewide,Private,"1021 Trade, transportation, and utilities",,78660,1160240,1143031,1145839,16784937773,1123,1.07,1.11
10820,17000,17,0.0,5,1022,2021,1,State,Illinois,Illinois -- Statewide,Private,1022 Information,,7532,85745,86879,87484,2758402949,2447,0.8,0.59
10821,17000,17,0.0,5,1023,2021,1,State,Illinois,Illinois -- Statewide,Private,1023 Financial activities,,33463,372146,372989,374040,16632163322,3429,1.15,1.34
10822,17000,17,0.0,5,1024,2021,1,State,Illinois,Illinois -- Statewide,Private,1024 Professional and business services,,77795,888674,898195,899711,19965321622,1715,1.1,1.02
10823,17000,17,0.0,5,1025,2021,1,State,Illinois,Illinois -- Statewide,Private,1025 Education and health services,,39999,880436,887918,893186,11626047574,1008,1.0,0.91
10824,17000,17,0.0,5,1026,2021,1,State,Illinois,Illinois -- Statewide,Private,1026 Leisure and hospitality,,32891,390992,424579,448418,2569783848,469,0.88,0.79
10825,17000,17,0.0,5,1027,2021,1,State,Illinois,Illinois -- Statewide,Private,1027 Other services,,36146,181653,183495,186163,2202858096,922,1.17,1.21
10826,17000,17,0.0,5,1029,2021,1,State,Illinois,Illinois -- Statewide,Private,1029 Unclassified,,15703,726,764,851,8659964,854,0.11,0.07
12566,18000,18,0.0,0,10,2021,1,State,Indiana,Indiana -- Statewide,Total Covered,"10 Total, all industries",,178411,2931703,2936073,2958907,39221336625,1025,1.0,1.0
12567,18000,18,0.0,1,10,2021,1,State,Indiana,Indiana -- Statewide,Federal Government,"10 Total, all industries",,1260,39748,39477,39286,707383054,1377,0.65,0.72
12568,18000,18,0.0,2,10,2021,1,State,Indiana,Indiana -- Statewide,State Government,"10 Total, all industries",,1411,82128,85226,85608,1337069428,1220,0.88,1.07
12569,18000,18,0.0,3,10,2021,1,State,Indiana,Indiana -- Statewide,Local Government,"10 Total, all industries",,2959,255947,256983,258850,2759438996,825,0.89,0.87
12570,18000,18,0.0,5,10,2021,1,State,Indiana,Indiana -- Statewide,Private,"10 Total, all industries",,172781,2553880,2554387,2575163,34417445147,1034,1.03,1.02
12571,18000,18,0.0,5,101,2021,1,State,Indiana,Indiana -- Statewide,Private,101 Goods-producing,,27451,675175,673564,682768,11604825320,1318,1.55,1.88
12572,18000,18,0.0,5,1011,2021,1,State,Indiana,Indiana -- Statewide,Private,1011 Natural resources and mining,,2320,19043,19025,19492,230131815,923,0.57,0.54
12573,18000,18,0.0,5,1012,2021,1,State,Indiana,Indiana -- Statewide,Private,1012 Construction,,15850,137353,133780,139731,2059092272,1157,0.93,1.09
12574,18000,18,0.0,5,1013,2021,1,State,Indiana,Indiana -- Statewide,Private,1013 Manufacturing,,9281,518779,520759,523545,9315601233,1375,2.04,2.42
12575,18000,18,0.0,5,102,2021,1,State,Indiana,Indiana -- Statewide,Private,102 Service-providing,,145330,1878705,1880823,1892395,22812619827,931,0.91,0.83
12576,18000,18,0.0,5,1021,2021,1,State,Indiana,Indiana -- Statewide,Private,"1021 Trade, transportation, and utilities",,41238,598717,593211,595279,6795149715,877,1.05,1.13
12577,18000,18,0.0,5,1022,2021,1,State,Indiana,Indiana -- Statewide,Private,1022 Information,,2676,25134,25206,25154,447433376,1368,0.43,0.24
12578,18000,18,0.0,5,1023,2021,1,State,Indiana,Indiana -- Statewide,Private,1023 Financial activities,,17851,133719,134040,133979,2843800899,1634,0.77,0.58
12579,18000,18,0.0,5,1024,2021,1,State,Indiana,Indiana -- Statewide,Private,1024 Professional and business services,,32920,331579,332155,333904,5003163892,1157,0.77,0.65
12580,18000,18,0.0,5,1025,2021,1,State,Indiana,Indiana -- Statewide,Private,1025 Education and health services,,17306,453076,455964,455965,5693933835,963,0.96,1.13
12581,18000,18,0.0,5,1026,2021,1,State,Indiana,Indiana -- Statewide,Private,1026 Leisure and hospitality,,16006,255371,258758,265586,1305305966,386,0.98,1.01
12582,18000,18,0.0,5,1027,2021,1,State,Indiana,Indiana -- Statewide,Private,1027 Other services,,13325,80936,81298,82322,721431895,681,0.98,1.0
12583,18000,18,0.0,5,1029,2021,1,State,Indiana,Indiana -- Statewide,Private,1029 Unclassified,,4008,173,191,206,2400249,972,0.05,0.05
14171,19000,19,0.0,0,10,2021,1,State,Iowa,Iowa -- Statewide,Total Covered,"10 Total, all industries",,105367,1464966,1462128,1475444,19149340017,1004,1.0,1.0
14172,19000,19,0.0,1,10,2021,1,State,Iowa,Iowa -- Statewide,Federal Government,"10 Total, all industries",,1400,17940,17828,17820,290144952,1249,0.59,0.6
14173,19000,19,0.0,2,10,2021,1,State,Iowa,Iowa -- Statewide,State Government,"10 Total, all industries",,1624,50528,50475,50473,880088142,1341,1.04,1.44
14174,19000,19,0.0,3,10,2021,1,State,Iowa,Iowa -- Statewide,Local Government,"10 Total, all industries",,3318,165956,167478,168451,1907144595,877,1.17,1.22
14175,19000,19,0.0,5,10,2021,1,State,Iowa,Iowa -- Statewide,Private,"10 Total, all industries",,99025,1230542,1226347,1238700,16071962328,1004,0.99,0.97
14176,19000,19,0.0,5,101,2021,1,State,Iowa,Iowa -- Statewide,Private,101 Goods-producing,,16362,303889,299969,306082,4488409179,1138,1.39,1.49
14177,19000,19,0.0,5,1011,2021,1,State,Iowa,Iowa -- Statewide,Private,1011 Natural resources and mining,,2908,20850,20786,21291,233031032,855,1.24,1.12
14178,19000,19,0.0,5,1012,2021,1,State,Iowa,Iowa -- Statewide,Private,1012 Construction,,9366,66972,63517,68341,943029597,1095,0.91,1.02
14179,19000,19,0.0,5,1013,2021,1,State,Iowa,Iowa -- Statewide,Private,1013 Manufacturing,,4088,216067,215666,216450,3312348550,1179,1.69,1.76
14180,19000,19,0.0,5,102,2021,1,State,Iowa,Iowa -- Statewide,Private,102 Service-providing,,82663,926653,926378,932618,11583553149,960,0.9,0.86
14181,19000,19,0.0,5,1021,2021,1,State,Iowa,Iowa -- Statewide,Private,"1021 Trade, transportation, and utilities",,23447,304254,300483,302048,3251087809,827,1.07,1.11
14182,19000,19,0.0,5,1022,2021,1,State,Iowa,Iowa -- Statewide,Private,1022 Information,,1909,18643,18606,18611,338076674,1397,0.64,0.37
14183,19000,19,0.0,5,1023,2021,1,State,Iowa,Iowa -- Statewide,Private,1023 Financial activities,,10556,108867,108660,108639,2654085963,1878,1.25,1.1
14184,19000,19,0.0,5,1024,2021,1,State,Iowa,Iowa -- Statewide,Private,1024 Professional and business services,,17149,136392,136922,137214,2127487067,1196,0.63,0.56
14185,19000,19,0.0,5,1025,2021,1,State,Iowa,Iowa -- Statewide,Private,1025 Education and health services,,13329,209411,210335,211169,2338064837,855,0.89,0.95
14186,19000,19,0.0,5,1026,2021,1,State,Iowa,Iowa -- Statewide,Private,1026 Leisure and hospitality,,8675,112354,114663,117966,514466700,344,0.87,0.81
14187,19000,19,0.0,5,1027,2021,1,State,Iowa,Iowa -- Statewide,Private,1027 Other services,,7598,36732,36709,36971,360284099,753,0.88,1.02
15886,20000,20,0.0,0,10,2021,1,State,Kansas,Kansas -- Statewide,Total Covered,"10 Total, all industries",,89052,1325389,1320949,1336686,17002957445,985,1.0,1.0
15887,20000,20,0.0,1,10,2021,1,State,Kansas,Kansas -- Statewide,Federal Government,"10 Total, all industries",,1217,25749,25625,25643,435526768,1305,0.94,1.02
15888,20000,20,0.0,2,10,2021,1,State,Kansas,Kansas -- Statewide,State Government,"10 Total, all industries",,951,39592,39943,39865,504131633,974,0.9,0.93
15889,20000,20,0.0,3,10,2021,1,State,Kansas,Kansas -- Statewide,Local Government,"10 Total, all industries",,2717,172567,174825,176044,1695376696,747,1.34,1.23
15890,20000,20,0.0,5,10,2021,1,State,Kansas,Kansas -- Statewide,Private,"10 Total, all industries",,84167,1087481,1080556,1095134,14367922348,1016,0.97,0.98
15891,20000,20,0.0,5,101,2021,1,State,Kansas,Kansas -- Statewide,Private,101 Goods-producing,,13205,236295,231392,240008,3574221619,1166,1.2,1.34
15892,20000,20,0.0,5,1011,2021,1,State,Kansas,Kansas -- Statewide,Private,1011 Natural resources and mining,,2604,17744,17661,18161,208738322,899,1.17,1.13
15893,20000,20,0.0,5,1012,2021,1,State,Kansas,Kansas -- Statewide,Private,1012 Construction,,7441,60601,56407,61891,831369355,1072,0.91,1.01
15894,20000,20,0.0,5,1013,2021,1,State,Kansas,Kansas -- Statewide,Private,1013 Manufacturing,,3160,157950,157324,159956,2534113942,1231,1.38,1.52
15895,20000,20,0.0,5,102,2021,1,State,Kansas,Kansas -- Statewide,Private,102 Service-providing,,70962,851186,849164,855126,10793700729,975,0.91,0.9
15896,20000,20,0.0,5,1021,2021,1,State,Kansas,Kansas -- Statewide,Private,"1021 Trade, transportation, and utilities",,19506,260238,257064,257902,2929307391,872,1.01,1.13
15897,20000,20,0.0,5,1022,2021,1,State,Kansas,Kansas -- Statewide,Private,1022 Information,,1775,16079,16270,16212,346048454,1644,0.62,0.43
15898,20000,20,0.0,5,1023,2021,1,State,Kansas,Kansas -- Statewide,Private,1023 Financial activities,,8844,72817,72827,72757,1610179289,1701,0.93,0.75
15899,20000,20,0.0,5,1024,2021,1,State,Kansas,Kansas -- Statewide,Private,1024 Professional and business services,,17571,166798,166140,168432,2856627722,1315,0.86,0.85
15900,20000,20,0.0,5,1025,2021,1,State,Kansas,Kansas -- Statewide,Private,1025 Education and health services,,10384,194828,194792,194634,2239764102,885,0.91,1.03
15901,20000,20,0.0,5,1026,2021,1,State,Kansas,Kansas -- Statewide,Private,1026 Leisure and hospitality,,6906,109047,110532,113403,515312567,357,0.93,0.92
15902,20000,20,0.0,5,1027,2021,1,State,Kansas,Kansas -- Statewide,Private,1027 Other services,,5976,31379,31539,31786,296461204,722,0.83,0.95
17693,21000,21,0.0,0,10,2021,1,State,Kentucky,Kentucky -- Statewide,Total Covered,"10 Total, all industries",,131261,1815410,1813681,1840046,22838142794,964,1.0,1.0
17694,21000,21,0.0,1,10,2021,1,State,Kentucky,Kentucky -- Statewide,Federal Government,"10 Total, all industries",,1306,34744,34805,34870,591103924,1306,0.93,1.03
17695,21000,21,0.0,2,10,2021,1,State,Kentucky,Kentucky -- Statewide,State Government,"10 Total, all industries",,2512,78961,80751,81043,1060278663,1016,1.34,1.45
17696,21000,21,0.0,3,10,2021,1,State,Kentucky,Kentucky -- Statewide,Local Government,"10 Total, all industries",,1967,164002,165435,166965,1711015243,795,0.93,0.92
17697,21000,21,0.0,5,10,2021,1,State,Kentucky,Kentucky -- Statewide,Private,"10 Total, all industries",,125476,1537703,1532690,1557168,19475744964,971,1.0,0.99
17698,21000,21,0.0,5,101,2021,1,State,Kentucky,Kentucky -- Statewide,Private,101 Goods-producing,,17032,333942,332441,337386,4920792054,1131,1.23,1.37
17699,21000,21,0.0,5,1011,2021,1,State,Kentucky,Kentucky -- Statewide,Private,1011 Natural resources and mining,,1680,15615,15671,16226,205678223,999,0.76,0.83
17700,21000,21,0.0,5,1012,2021,1,State,Kentucky,Kentucky -- Statewide,Private,1012 Construction,,10092,75183,73619,76238,998800416,1024,0.82,0.9
17701,21000,21,0.0,5,1013,2021,1,State,Kentucky,Kentucky -- Statewide,Private,1013 Manufacturing,,5260,243144,243151,244922,3716313415,1173,1.53,1.66
17702,21000,21,0.0,5,102,2021,1,State,Kentucky,Kentucky -- Statewide,Private,102 Service-providing,,108444,1203761,1200249,1219782,14554952910,927,0.95,0.9
17703,21000,21,0.0,5,1021,2021,1,State,Kentucky,Kentucky -- Statewide,Private,"1021 Trade, transportation, and utilities",,28590,406024,401913,404796,4720357468,898,1.15,1.35
17704,21000,21,0.0,5,1022,2021,1,State,Kentucky,Kentucky -- Statewide,Private,1022 Information,,2375,19767,20192,20505,339332724,1295,0.57,0.31
17705,21000,21,0.0,5,1023,2021,1,State,Kentucky,Kentucky -- Statewide,Private,1023 Financial activities,,12135,93667,93542,93965,2003252794,1644,0.87,0.7
17706,21000,21,0.0,5,1024,2021,1,State,Kentucky,Kentucky -- Statewide,Private,1024 Professional and business services,,23774,214091,212578,214944,2944927299,1059,0.79,0.65
17707,21000,21,0.0,5,1025,2021,1,State,Kentucky,Kentucky -- Statewide,Private,1025 Education and health services,,21332,267496,268036,272757,3352412597,957,0.92,1.15
17708,21000,21,0.0,5,1026,2021,1,State,Kentucky,Kentucky -- Statewide,Private,1026 Leisure and hospitality,,10469,161947,163040,170753,812938219,378,1.02,1.08
17709,21000,21,0.0,5,1027,2021,1,State,Kentucky,Kentucky -- Statewide,Private,1027 Other services,,9330,40496,40672,41780,376685821,707,0.8,0.9
17710,21000,21,0.0,5,1029,2021,1,State,Kentucky,Kentucky -- Statewide,Private,1029 Unclassified,,439,273,276,282,5045988,1401,0.11,0.18
19823,22000,22,0.0,0,10,2021,1,State,Louisiana,Louisiana -- Statewide,Total Covered,"10 Total, all industries",,141433,1773789,1779295,1793653,22589957726,975,1.0,1.0
19824,22000,22,0.0,1,10,2021,1,State,Louisiana,Louisiana -- Statewide,Federal Government,"10 Total, all industries",,1063,31444,31533,31449,571121418,1396,0.86,1.0
19825,22000,22,0.0,2,10,2021,1,State,Louisiana,Louisiana -- Statewide,State Government,"10 Total, all industries",,1333,73737,74703,74856,1040816501,1076,1.27,1.44
19826,22000,22,0.0,3,10,2021,1,State,Louisiana,Louisiana -- Statewide,Local Government,"10 Total, all industries",,3455,192554,192762,191808,1992879761,797,1.09,1.09
19827,22000,22,0.0,5,10,2021,1,State,Louisiana,Louisiana -- Statewide,Private,"10 Total, all industries",,135582,1476054,1480297,1495540,18985140046,984,0.98,0.98
19828,22000,22,0.0,5,101,2021,1,State,Louisiana,Louisiana -- Statewide,Private,101 Goods-producing,,19401,281547,283350,288609,5166560988,1397,1.08,1.45
19829,22000,22,0.0,5,1011,2021,1,State,Louisiana,Louisiana -- Statewide,Private,1011 Natural resources and mining,,3116,34129,34125,35341,736936100,1642,1.69,2.99
19830,22000,22,0.0,5,1012,2021,1,State,Louisiana,Louisiana -- Statewide,Private,1012 Construction,,11699,118887,121486,125128,1890160511,1193,1.38,1.73
19831,22000,22,0.0,5,1013,2021,1,State,Louisiana,Louisiana -- Statewide,Private,1013 Manufacturing,,4586,128531,127739,128140,2539464377,1524,0.82,1.15
19832,22000,22,0.0,5,102,2021,1,State,Louisiana,Louisiana -- Statewide,Private,102 Service-providing,,116181,1194507,1196947,1206931,13818579058,886,0.96,0.87
19833,22000,22,0.0,5,1021,2021,1,State,Louisiana,Louisiana -- Statewide,Private,"1021 Trade, transportation, and utilities",,31582,360893,359954,361561,4110703228,876,1.05,1.19
19834,22000,22,0.0,5,1022,2021,1,State,Louisiana,Louisiana -- Statewide,Private,1022 Information,,2088,18631,20069,19262,322493846,1284,0.55,0.3
19835,22000,22,0.0,5,1023,2021,1,State,Louisiana,Louisiana -- Statewide,Private,1023 Financial activities,,14514,80056,80726,80652,1451231875,1387,0.77,0.51
19836,22000,22,0.0,5,1024,2021,1,State,Louisiana,Louisiana -- Statewide,Private,1024 Professional and business services,,27280,205181,206261,209431,3048073871,1133,0.79,0.68
19837,22000,22,0.0,5,1025,2021,1,State,Louisiana,Louisiana -- Statewide,Private,1025 Education and health services,,17304,299930,299766,300439,3442349730,883,1.04,1.19
19838,22000,22,0.0,5,1026,2021,1,State,Louisiana,Louisiana -- Statewide,Private,1026 Leisure and hospitality,,13627,187747,188099,192703,1017074672,413,1.18,1.36
19839,22000,22,0.0,5,1027,2021,1,State,Louisiana,Louisiana -- Statewide,Private,1027 Other services,,9598,42027,42029,42840,426312378,775,0.84,1.03
19840,22000,22,0.0,5,1029,2021,1,State,Louisiana,Louisiana -- Statewide,Private,1029 Unclassified,,188,42,43,43,339458,612,0.02,0.01
20978,23000,23,0.0,0,10,2021,1,State,Maine,Maine -- Statewide,Total Covered,"10 Total, all industries",,56173,579714,582487,586561,7571320809,999,1.0,1.0
20979,23000,23,0.0,1,10,2021,1,State,Maine,Maine -- Statewide,Federal Government,"10 Total, all industries",,677,16436,16373,16410,308791006,1448,1.37,1.62
20980,23000,23,0.0,2,10,2021,1,State,Maine,Maine -- Statewide,State Government,"10 Total, all industries",,236,21385,21544,21540,284856970,1020,1.11,1.18
20981,23000,23,0.0,3,10,2021,1,State,Maine,Maine -- Statewide,Local Government,"10 Total, all industries",,2141,56668,57019,57847,598721592,805,1.01,0.97
20982,23000,23,0.0,5,10,2021,1,State,Maine,Maine -- Statewide,Private,"10 Total, all industries",,53119,485225,487551,490764,6378951241,1006,0.99,0.98
20983,23000,23,0.0,5,101,2021,1,State,Maine,Maine -- Statewide,Private,101 Goods-producing,,9354,88417,88449,89415,1291315001,1119,1.02,1.08
20984,23000,23,0.0,5,1011,2021,1,State,Maine,Maine -- Statewide,Private,1011 Natural resources and mining,,1659,7179,7245,7421,72129498,762,1.09,0.87
20985,23000,23,0.0,5,1012,2021,1,State,Maine,Maine -- Statewide,Private,1012 Construction,,5828,29369,29068,29360,380416036,1000,0.99,1.04
20986,23000,23,0.0,5,1013,2021,1,State,Maine,Maine -- Statewide,Private,1013 Manufacturing,,1867,51869,52136,52634,838769467,1236,1.03,1.13
20987,23000,23,0.0,5,102,2021,1,State,Maine,Maine -- Statewide,Private,102 Service-providing,,43765,396808,399102,401349,5087636240,981,0.98,0.95
20988,23000,23,0.0,5,1021,2021,1,State,Maine,Maine -- Statewide,Private,"1021 Trade, transportation, and utilities",,10492,114010,113237,112918,1216640264,825,1.0,1.05
20989,23000,23,0.0,5,1022,2021,1,State,Maine,Maine -- Statewide,Private,1022 Information,,975,6401,6405,6404,113193959,1360,0.56,0.31
20990,23000,23,0.0,5,1023,2021,1,State,Maine,Maine -- Statewide,Private,1023 Financial activities,,4028,29712,29788,29824,683919455,1767,0.87,0.72
20991,23000,23,0.0,5,1024,2021,1,State,Maine,Maine -- Statewide,Private,1024 Professional and business services,,12028,69755,70236,69884,1176866177,1294,0.81,0.79
20992,23000,23,0.0,5,1025,2021,1,State,Maine,Maine -- Statewide,Private,1025 Education and health services,,5657,115584,116448,117082,1449154305,958,1.24,1.49
20993,23000,23,0.0,5,1026,2021,1,State,Maine,Maine -- Statewide,Private,1026 Leisure and hospitality,,5137,44328,45818,47742,275983780,462,0.89,1.1
20994,23000,23,0.0,5,1027,2021,1,State,Maine,Maine -- Statewide,Private,1027 Other services,,3894,15851,15804,15896,149533042,726,0.95,1.08
20995,23000,23,0.0,5,1029,2021,1,State,Maine,Maine -- Statewide,Private,1029 Unclassified,,1554,1167,1366,1599,22345258,1248,2.03,2.35
21291,24000,24,0.0,0,10,2021,1,State,Maryland,Maryland -- Statewide,Total Covered,"10 Total, all industries",,175155,2500951,2505344,2531913,45088652135,1380,1.0,1.0
