,job_title,company_name,company_location,job_description,date_posted
4,[],Liberty Mutual Insurance,+1 locationRemote,A successful applicant is expected to be able to collaborate with business partners to develop predictive analytic solutions that enable data-driven strategic…,2021-11-23
5,Clinical Data Analyst Sr,UPMC,"Pittsburgh, PA 15213 (North Oakland area)+1 location•Remote","Bachelor's degree in Finance, Mathematics, Statistics, Biostatistics, engineering, health care management or a related field and five (5) years of experience,…",2021-11-20
6,"Data Analyst, Facilities (Remote Work)",Vanderbilt University,United States+1 location•Remote,"Must be highly analytical, detail-oriented, and have a passion for generating actionable business insights from data trends.",2021-12-07
7,Analyst- Personalization Athlete Data (REMOTE),DICK'S Sporting Goods,"Pittsburgh, PA•Remote","Support campaign data governance, troubleshoot data, and understand data flows and transformations.
Work with Technology to enhance data capabilities and ensure…",2021-11-07
8,Data Analyst,Craneware,Remote,"Working experience as a data analyst, business data analyst, programmer, or a demonstrated aptitude for the role.",2021-12-02
9,Data Transparency Regulatory Document Analyst,Johnson & Johnson Family of Companies,United States+1 location•Remote,"At least 1 year of data transparency experience is preferred.
Demonstrated experience with data transparency projects; eg, for Health Canada redaction proposal…",2021-12-02
10,"Project Employee, Data Analyst",the NBA,"New York, NY 10022 (Midtown area)+2 locations","Own data management projects (e.g. data standardization projects, SQL development, data mapping).
Detail oriented data background and exemplary analytical…",2021-11-09
11,Data Entry Analyst,CorVel Corporation,"Richmond, VA 23173 (University Of Richmond area)•Remote",The Data Entry role is a very dynamic position where the associate will be supporting a critical part of Intake Operations for CorVel.,2021-11-30
12,Analyst - Procurement,American Eagle Outfitters,"Pittsburgh, PA","Ability to analyze data to understand trends and develop action plans.
REPORTS TO: Senior Category Manager, Non-Merchandise Procurement.",2021-11-30
13,Sr. Data Analyst (International),Royal Caribbean Group,United States+5 locations,"Understanding of data warehousing concepts, relationship entity diagrams and relational databases.
Build intuitive presentations, interfaces, infographics, and…",2021-12-07
14,Data Engineer/Analyst,Freddie Mac,"Arizona City, AZ+1 location•Remote","Very less work with data structures.
40% testing, 40% data analysis and reporting and 20% misc. work.
Must Haves: Must have hands on experience with Python and…",2021-12-06
15,Data Analyst-Remote,Boston Medical Center,"Boston, MA 02118 (South Boston area)+3 locations•Remote","Ability to manipulate large data sets and clean data.
Link PWAC data set with prior year data and other data sources to support survey implementation and…",2021-11-07
16,"Project Employee, Data Analyst",the NBA,"New York, NY 10022 (Midtown area)+1 location","Own data management projects (e.g. data standardization projects, SQL development, data mapping).
Detail oriented data background and exemplary analytical…",2021-11-09
17,Online Data Analyst - USA,TELUS International AI Inc.,"Baltimore, MD•Remote",The position will allow you to work from home as an Independent Contractor on a flexible schedule of up to 20 hours per week completing tasks in a web-based…,2021-12-01
18,Data Coordinator & Analyst,UPMC,"Pittsburgh, PA 15222 (Central Business District area)","Run weekly and monthly QC reports to check data accuracy.
Accurately enter data from a variety of sources into the database.",2021-12-03
19,Analyst- Personalization Athlete Data (REMOTE),DICK'S Sporting Goods,"Pittsburgh, PA•Remote","Support campaign data governance, troubleshoot data, and understand data flows and transformations.
Work with Technology to enhance data capabilities and ensure…",2021-11-07
20,Data Analyst II,Computershare,United States•Remote,This is a great opportunity for an experienced individual to join a data analytics team focused on the accurate and efficient transfer of mortgage loan data.,2021-12-07
21,Data Analyst Assistant,Women's Center & Shelter,"Pittsburgh, PA•Remote","The successful candidate will be an experienced data analyst, demonstrate strong attention to detail and organization, and be comfortable with self-learning.",2021-12-02
22,Data Analyst,PetrosoftLLC,"Pittsburgh, PA","Proven working experience as a data analyst.
The main duties include identifying, gathering, analyzing data and making their insights accessible to the company…",2021-11-07
23,Entry Level Position / Free Bootcamp - Data Engineer / Data...,PCS Global Tech,"San Diego, CA+4 locations•Temporarily Remote","Provides plan with data, reporting, and analyses that enable data-driven decision-making.
Experience with other relational databases, BI reporting and data…",2021-12-07
24,Data Analyst,Craneware,Remote,"Working experience as a data analyst, business data analyst, programmer, or a demonstrated aptitude for the role.",2021-12-02
25,Data Analyst,Veterans Advantage,Remote,"You're detail-oriented and passionate about the field of data analytics, data science, and/or data engineering.
You'll enhance and maintain our data catalog.",2021-12-02
26,Data Governance Analyst,Acclive Inc,"Pittsburgh, PA 15219 (South Shore area)","Enforces data standards to achieve continued data cleanliness.
Experience with master data management and data tools preferred.
Job Types: Full-time, Contract.",2021-12-03
27,Analyst - Procurement,American Eagle Outfitters,"Pittsburgh, PA","Ability to analyze data to understand trends and develop action plans.
REPORTS TO: Senior Category Manager, Non-Merchandise Procurement.",2021-11-30
28,Data Analyst,Northwell Health,"New York, NY+4 locations","Identifies issues in data quality that would impact reporting (i.e. duplicate records, missing data, etc.).
Serves as a liaison between departments analytical…",2021-12-06
29,Data Analyst – Data Entry,Juristat,Remote,"Reviewing data and documents for errors.
Collecting and analyzing digital documents and related data.
Entering, correcting, and formatting data from source…",2021-11-07
,job_title,company_name,company_location,job_description,date_posted
0,Data Analyst-Remote,Boston Medical Center,"Boston, MA 02118 (South Boston area)+3 locations•Remote","Ability to manipulate large data sets and clean data.
Link PWAC data set with prior year data and other data sources to support survey implementation and…",2021-11-07
1,"Project Employee, Data Analyst",the NBA,"New York, NY 10022 (Midtown area)+1 location","Own data management projects (e.g. data standardization projects, SQL development, data mapping).
Detail oriented data background and exemplary analytical…",2021-11-08
2,Data Coordinator & Analyst,UPMC,"Pittsburgh, PA 15222 (Central Business District area)","Run weekly and monthly QC reports to check data accuracy.
Accurately enter data from a variety of sources into the database.",2021-12-03
3,Online Data Analyst - USA,TELUS International AI Inc.,"Baltimore, MD•Remote",The position will allow you to work from home as an Independent Contractor on a flexible schedule of up to 20 hours per week completing tasks in a web-based…,2021-12-01
4,Analyst- Personalization Athlete Data (REMOTE),DICK'S Sporting Goods,"Pittsburgh, PA•Remote","Support campaign data governance, troubleshoot data, and understand data flows and transformations.
Work with Technology to enhance data capabilities and ensure…",2021-11-07
5,Data Analyst Assistant,Women's Center & Shelter,"Pittsburgh, PA•Remote","The successful candidate will be an experienced data analyst, demonstrate strong attention to detail and organization, and be comfortable with self-learning.",2021-12-02
6,Data Analyst II,Computershare,United States•Remote,This is a great opportunity for an experienced individual to join a data analytics team focused on the accurate and efficient transfer of mortgage loan data.,2021-12-07
7,Clinical Data Analyst Sr,UPMC,"Pittsburgh, PA 15213 (North Oakland area)+6 locations•Remote","Bachelor's degree in Finance, Mathematics, Statistics, Biostatistics, engineering, health care management or a related field and five (5) years of experience,…",2021-11-20
8,Data Analyst,PetrosoftLLC,"Pittsburgh, PA","Proven working experience as a data analyst.
The main duties include identifying, gathering, analyzing data and making their insights accessible to the company…",2021-11-07
9,Data Analyst,Craneware,Remote,"Working experience as a data analyst, business data analyst, programmer, or a demonstrated aptitude for the role.",2021-12-02
10,Data Analyst,Northwell Health,"New York, NY+4 locations","Identifies issues in data quality that would impact reporting (i.e. duplicate records, missing data, etc.).
Serves as a liaison between departments analytical…",2021-12-06
11,Data Governance Analyst,Acclive Inc,"Pittsburgh, PA 15219 (South Shore area)","Enforces data standards to achieve continued data cleanliness.
Experience with master data management and data tools preferred.
Job Types: Full-time, Contract.",2021-12-03
12,Entry Level Position / Free Bootcamp - Data Engineer / Data...,PCS Global Tech,"San Diego, CA+4 locations•Temporarily Remote","Provides plan with data, reporting, and analyses that enable data-driven decision-making.
Experience with other relational databases, BI reporting and data…",2021-12-07
13,Analyst - Procurement,American Eagle Outfitters,"Pittsburgh, PA","Ability to analyze data to understand trends and develop action plans.
REPORTS TO: Senior Category Manager, Non-Merchandise Procurement.",2021-11-30
14,Data Analyst,Veterans Advantage,Remote,"You're detail-oriented and passionate about the field of data analytics, data science, and/or data engineering.
You'll enhance and maintain our data catalog.",2021-12-02
15,[],Computershare,United States•Remote,This is a great opportunity for an experienced individual to join a data analytics team focused on the accurate and efficient transfer of mortgage loan data.,2021-12-07
16,"Project Employee, Data Analyst",the NBA,"New York, NY 10022 (Midtown area)+1 location","Own data management projects (e.g. data standardization projects, SQL development, data mapping).
Detail oriented data background and exemplary analytical…",2021-11-08
17,Data Coordinator & Analyst,UPMC,"Pittsburgh, PA 15222 (Central Business District area)","Run weekly and monthly QC reports to check data accuracy.
Accurately enter data from a variety of sources into the database.",2021-12-03
18,Online Data Analyst - USA,TELUS International AI Inc.,"Baltimore, MD•Remote",The position will allow you to work from home as an Independent Contractor on a flexible schedule of up to 20 hours per week completing tasks in a web-based…,2021-12-01
19,Analyst- Personalization Athlete Data (REMOTE),DICK'S Sporting Goods,"Pittsburgh, PA•Remote","Support campaign data governance, troubleshoot data, and understand data flows and transformations.
Work with Technology to enhance data capabilities and ensure…",2021-11-07
20,Data Analyst Assistant,Women's Center & Shelter,"Pittsburgh, PA•Remote","The successful candidate will be an experienced data analyst, demonstrate strong attention to detail and organization, and be comfortable with self-learning.",2021-12-02
21,Data Analyst,PetrosoftLLC,"Pittsburgh, PA","Proven working experience as a data analyst.
The main duties include identifying, gathering, analyzing data and making their insights accessible to the company…",2021-11-07
22,Data Analyst,Craneware,Remote,"Working experience as a data analyst, business data analyst, programmer, or a demonstrated aptitude for the role.",2021-12-02
23,Data Analyst,Northwell Health,"New York, NY+4 locations","Identifies issues in data quality that would impact reporting (i.e. duplicate records, missing data, etc.).
Serves as a liaison between departments analytical…",2021-12-06
24,Data Governance Analyst,Acclive Inc,"Pittsburgh, PA 15219 (South Shore area)","Enforces data standards to achieve continued data cleanliness.
Experience with master data management and data tools preferred.
Job Types: Full-time, Contract.",2021-12-03
25,Entry Level Position / Free Bootcamp - Data Engineer / Data...,PCS Global Tech,"San Diego, CA+4 locations•Temporarily Remote","Provides plan with data, reporting, and analyses that enable data-driven decision-making.
Experience with other relational databases, BI reporting and data…",2021-12-07
26,Analyst - Procurement,American Eagle Outfitters,"Pittsburgh, PA","Ability to analyze data to understand trends and develop action plans.
REPORTS TO: Senior Category Manager, Non-Merchandise Procurement.",2021-11-30
27,Data Analyst,Veterans Advantage,Remote,"You're detail-oriented and passionate about the field of data analytics, data science, and/or data engineering.
You'll enhance and maintain our data catalog.",2021-12-02
28,"2022066 Data Analyst $215,000.00",B4CORP,"Herndon, VA","Position Requires a Top Secret (TS/SCI) Clearance with a Polygraph.
Assists in design & Mgt of cloud systems, applications, policies and strategy.",2021-11-07
29,Data Analyst – Data Entry,Juristat,Remote,"Reviewing data and documents for errors.
Collecting and analyzing digital documents and related data.
Entering, correcting, and formatting data from source…",2021-11-07
,job_title,company_name,company_location,job_description,date_posted
0,[],Liberty Mutual Insurance,+1 locationRemote,A successful applicant is expected to be able to collaborate with business partners to develop predictive analytic solutions that enable data-driven strategic…,2021-11-23
1,Data Coordinator & Analyst,UPMC,"Pittsburgh, PA 15222 (Central Business District area)","Run weekly and monthly QC reports to check data accuracy.
Accurately enter data from a variety of sources into the database.",2021-12-03
2,Data Analyst,PetrosoftLLC,"Pittsburgh, PA","Proven working experience as a data analyst.
The main duties include identifying, gathering, analyzing data and making their insights accessible to the company…",2021-11-07
3,Data Analyst,Craneware,Remote,"Working experience as a data analyst, business data analyst, programmer, or a demonstrated aptitude for the role.",2021-12-02
4,"Data Analyst, Facilities (Remote Work)",Vanderbilt University,United States+2 locations•Remote,"Must be highly analytical, detail-oriented, and have a passion for generating actionable business insights from data trends.",2021-12-07
5,Data Analyst Assistant,Women's Center & Shelter,"Pittsburgh, PA•Remote","The successful candidate will be an experienced data analyst, demonstrate strong attention to detail and organization, and be comfortable with self-learning.",2021-12-02
6,Analyst- Personalization Athlete Data (REMOTE),DICK'S Sporting Goods,"Pittsburgh, PA•Remote","Support campaign data governance, troubleshoot data, and understand data flows and transformations.
Work with Technology to enhance data capabilities and ensure…",2021-11-07
7,Data Entry Analyst,CorVel Corporation,"Richmond, VA 23173 (University Of Richmond area)•Remote",The Data Entry role is a very dynamic position where the associate will be supporting a critical part of Intake Operations for CorVel.,2021-11-30
8,Data Transparency Regulatory Document Analyst,Johnson & Johnson Family of Companies,United States+1 location•Remote,"At least 1 year of data transparency experience is preferred.
Demonstrated experience with data transparency projects; eg, for Health Canada redaction proposal…",2021-12-02
9,Data Analyst,General Dynamics Information Technology,United States+19 locations,"Analyzes organizational data and conducts statistical analysis.
Proficiency in computer programs and data analysis tools.",2021-12-01
10,Data Analyst,Physical Impact Hawaii,United States+8 locations,"?Prepare customer statements, bills and invoices, and reconcile expenses to the general ledger.
? Work with collections personnel to verify status of delinquent…",2021-12-07
11,"Project Employee, Data Analyst",the NBA,"New York, NY 10022 (Midtown area)+1 location","Own data management projects (e.g. data standardization projects, SQL development, data mapping).
Detail oriented data background and exemplary analytical…",2021-11-08
12,Analyst - Procurement,American Eagle Outfitters,"Pittsburgh, PA","Ability to analyze data to understand trends and develop action plans.
REPORTS TO: Senior Category Manager, Non-Merchandise Procurement.",2021-11-30
13,Sr. Data Analyst (International),Royal Caribbean Group,United States+1 location,"Understanding of data warehousing concepts, relationship entity diagrams and relational databases.
Build intuitive presentations, interfaces, infographics, and…",2021-12-07
14,Data Analyst SP&R,Cisco Systems,"Honolulu, HI 96813 (Downtown area)+1 location","What You'll Do Analyze information from various data sources, both structured and unstructured data, to build new detection models for use in threat hunting…",2021-12-03
15,Data Analyst Assistant,Women's Center & Shelter,"Pittsburgh, PA•Remote","The successful candidate will be an experienced data analyst, demonstrate strong attention to detail and organization, and be comfortable with self-learning.",2021-12-02
16,[],Fastline Marketing Group,+1 locationRemote,"We are seeking an experienced data analyst to deliver insightful data to power our systems and solutions.
Analyze data for trends and patterns and interpret…",2021-11-19
17,Data Coordinator & Analyst,UPMC,"Pittsburgh, PA 15222 (Central Business District area)","Run weekly and monthly QC reports to check data accuracy.
Accurately enter data from a variety of sources into the database.",2021-12-03
18,Data Management and Analytics Analyst,Cameron Craig Group,"Pittsburgh, PA 15289","Promote ongoing engagement of data stewards and data domain owners within the data governance infrastructure.
Develop master data management strategies and data…",2021-12-02
19,Data Analyst,PetrosoftLLC,"Pittsburgh, PA","Proven working experience as a data analyst.
The main duties include identifying, gathering, analyzing data and making their insights accessible to the company…",2021-11-07
20,Data Analyst,Craneware,Remote,"Working experience as a data analyst, business data analyst, programmer, or a demonstrated aptitude for the role.",2021-12-02
21,"Data Analyst, Facilities (Remote Work)",Vanderbilt University,United States+2 locations•Remote,"Must be highly analytical, detail-oriented, and have a passion for generating actionable business insights from data trends.",2021-12-07
22,Analyst- Personalization Athlete Data (REMOTE),DICK'S Sporting Goods,"Pittsburgh, PA•Remote","Support campaign data governance, troubleshoot data, and understand data flows and transformations.
Work with Technology to enhance data capabilities and ensure…",2021-11-07
23,Data Entry Analyst,CorVel Corporation,"Richmond, VA 23173 (University Of Richmond area)•Remote",The Data Entry role is a very dynamic position where the associate will be supporting a critical part of Intake Operations for CorVel.,2021-11-30
24,Entry Level Healthcare IT Analyst,Optimum Healthcare IT,United States,"The Data Analyst will combine clinical knowledge, data and information retrieval skills to actively address client's need for business and clinical insights…",2021-12-03
25,Data Transparency Regulatory Document Analyst,Johnson & Johnson Family of Companies,United States+1 location•Remote,"At least 1 year of data transparency experience is preferred.
Demonstrated experience with data transparency projects; eg, for Health Canada redaction proposal…",2021-12-02
26,Data Analyst,Physical Impact Hawaii,United States+8 locations,"?Prepare customer statements, bills and invoices, and reconcile expenses to the general ledger.
? Work with collections personnel to verify status of delinquent…",2021-12-07
27,"Project Employee, Data Analyst",the NBA,"New York, NY 10022 (Midtown area)+1 location","Own data management projects (e.g. data standardization projects, SQL development, data mapping).
Detail oriented data background and exemplary analytical…",2021-11-08
28,Analyst - Procurement,American Eagle Outfitters,"Pittsburgh, PA","Ability to analyze data to understand trends and develop action plans.
REPORTS TO: Senior Category Manager, Non-Merchandise Procurement.",2021-11-30
29,Sr. Data Analyst (International),Royal Caribbean Group,United States+1 location,"Understanding of data warehousing concepts, relationship entity diagrams and relational databases.
Build intuitive presentations, interfaces, infographics, and…",2021-12-07
,job_title,company_name,company_location,job_description,date_posted
0,"Project Employee, Data Analyst",the NBA,"New York, NY 10022 (Midtown area)+1 location","Own data management projects (e.g. data standardization projects, SQL development, data mapping).
Detail oriented data background and exemplary analytical…",2021-11-08
1,Data Coordinator & Analyst,UPMC,"Pittsburgh, PA 15222 (Central Business District area)","Run weekly and monthly QC reports to check data accuracy.
Accurately enter data from a variety of sources into the database.",2021-12-03
2,Online Data Analyst - USA,TELUS International AI Inc.,"Baltimore, MD•Remote",The position will allow you to work from home as an Independent Contractor on a flexible schedule of up to 20 hours per week completing tasks in a web-based…,2021-12-01
3,Analyst- Personalization Athlete Data (REMOTE),DICK'S Sporting Goods,"Pittsburgh, PA•Remote","Support campaign data governance, troubleshoot data, and understand data flows and transformations.
Work with Technology to enhance data capabilities and ensure…",2021-11-07
4,Data Analyst Assistant,Women's Center & Shelter,"Pittsburgh, PA•Remote","The successful candidate will be an experienced data analyst, demonstrate strong attention to detail and organization, and be comfortable with self-learning.",2021-12-02
5,Data Analyst II,Computershare,United States•Remote,This is a great opportunity for an experienced individual to join a data analytics team focused on the accurate and efficient transfer of mortgage loan data.,2021-12-07
6,Data Analyst,PetrosoftLLC,"Pittsburgh, PA","Proven working experience as a data analyst.
The main duties include identifying, gathering, analyzing data and making their insights accessible to the company…",2021-11-07
7,Data Analyst,Craneware,Remote,"Working experience as a data analyst, business data analyst, programmer, or a demonstrated aptitude for the role.",2021-12-02
8,Data Analyst,Northwell Health,"New York, NY+4 locations","Identifies issues in data quality that would impact reporting (i.e. duplicate records, missing data, etc.).
Serves as a liaison between departments analytical…",2021-12-06
9,Data Governance Analyst,Acclive Inc,"Pittsburgh, PA 15219 (South Shore area)","Enforces data standards to achieve continued data cleanliness.
Experience with master data management and data tools preferred.
Job Types: Full-time, Contract.",2021-12-03
10,Entry Level Position / Free Bootcamp - Data Engineer / Data...,PCS Global Tech,"San Diego, CA+4 locations•Temporarily Remote","Provides plan with data, reporting, and analyses that enable data-driven decision-making.
Experience with other relational databases, BI reporting and data…",2021-12-07
11,Analyst - Procurement,American Eagle Outfitters,"Pittsburgh, PA","Ability to analyze data to understand trends and develop action plans.
REPORTS TO: Senior Category Manager, Non-Merchandise Procurement.",2021-11-30
12,Data Analyst,Veterans Advantage,Remote,"You're detail-oriented and passionate about the field of data analytics, data science, and/or data engineering.
You'll enhance and maintain our data catalog.",2021-12-02
13,Data Analyst – Data Entry,Juristat,Remote,"Reviewing data and documents for errors.
Collecting and analyzing digital documents and related data.
Entering, correcting, and formatting data from source…",2021-11-07
14,Data Analyst,Beaver County PA,"Pittsburgh, PA","Utilize the various dashboards to analyze data.
Assist staff and providers with data collection to create and measure outcomes.",2021-11-07
15,Data Analyst Assistant,Women's Center & Shelter,"Pittsburgh, PA•Remote","The successful candidate will be an experienced data analyst, demonstrate strong attention to detail and organization, and be comfortable with self-learning.",2021-12-02
16,"Project Employee, Data Analyst",the NBA,"New York, NY 10022 (Midtown area)+1 location","Own data management projects (e.g. data standardization projects, SQL development, data mapping).
Detail oriented data background and exemplary analytical…",2021-11-08
17,Data Coordinator & Analyst,UPMC,"Pittsburgh, PA 15222 (Central Business District area)","Run weekly and monthly QC reports to check data accuracy.
Accurately enter data from a variety of sources into the database.",2021-12-03
18,Online Data Analyst - USA,TELUS International AI Inc.,"Baltimore, MD•Remote",The position will allow you to work from home as an Independent Contractor on a flexible schedule of up to 20 hours per week completing tasks in a web-based…,2021-12-01
19,Data Analyst Associate - SQL,eNGINE,"Pittsburgh, PA 15222 (Strip District area)+1 location","You'll be part of a team responsible for gathering, reviewing, & developing data enhancements & identifying source data for regulatory changes.",2021-11-30
20,Analyst- Personalization Athlete Data (REMOTE),DICK'S Sporting Goods,"Pittsburgh, PA•Remote","Support campaign data governance, troubleshoot data, and understand data flows and transformations.
Work with Technology to enhance data capabilities and ensure…",2021-11-07
21,Data Analyst II,Computershare,United States•Remote,This is a great opportunity for an experienced individual to join a data analytics team focused on the accurate and efficient transfer of mortgage loan data.,2021-12-07
22,Data Analyst,PetrosoftLLC,"Pittsburgh, PA","Proven working experience as a data analyst.
The main duties include identifying, gathering, analyzing data and making their insights accessible to the company…",2021-11-07
23,Data Analyst,Craneware,Remote,"Working experience as a data analyst, business data analyst, programmer, or a demonstrated aptitude for the role.",2021-12-02
24,Data Analyst,Northwell Health,"New York, NY+4 locations","Identifies issues in data quality that would impact reporting (i.e. duplicate records, missing data, etc.).
Serves as a liaison between departments analytical…",2021-12-06
25,[],Insight Global,+16 locationsRemote,"This person will collaborate with team members from Finance, Engineering, IT, Product, and PepsiCo Business Units to gather / review business requirements,…",2021-11-07
26,Data Governance Analyst,Acclive Inc,"Pittsburgh, PA 15219 (South Shore area)","Enforces data standards to achieve continued data cleanliness.
Experience with master data management and data tools preferred.
Job Types: Full-time, Contract.",2021-12-03
27,Entry Level Position / Free Bootcamp - Data Engineer / Data...,PCS Global Tech,"San Diego, CA+4 locations•Temporarily Remote","Provides plan with data, reporting, and analyses that enable data-driven decision-making.
Experience with other relational databases, BI reporting and data…",2021-12-07
28,Analyst - Procurement,American Eagle Outfitters,"Pittsburgh, PA","Ability to analyze data to understand trends and develop action plans.
REPORTS TO: Senior Category Manager, Non-Merchandise Procurement.",2021-11-30
29,Data Analyst,Veterans Advantage,Remote,"You're detail-oriented and passionate about the field of data analytics, data science, and/or data engineering.
You'll enhance and maintain our data catalog.",2021-12-02
,job_title,company_name,company_location,job_description,date_posted
0,[],Liberty Mutual Insurance,+1 locationRemote,A successful applicant is expected to be able to collaborate with business partners to develop predictive analytic solutions that enable data-driven strategic…,2021-11-23
1,Data Coordinator & Analyst,UPMC,"Pittsburgh, PA 15222 (Central Business District area)","Run weekly and monthly QC reports to check data accuracy.
Accurately enter data from a variety of sources into the database.",2021-12-03
2,Data Analyst,PetrosoftLLC,"Pittsburgh, PA","Proven working experience as a data analyst.
The main duties include identifying, gathering, analyzing data and making their insights accessible to the company…",2021-11-07
3,Data Analyst,Craneware,Remote,"Working experience as a data analyst, business data analyst, programmer, or a demonstrated aptitude for the role.",2021-12-02
4,"Data Analyst, Facilities (Remote Work)",Vanderbilt University,United States+2 locations•Remote,"Must be highly analytical, detail-oriented, and have a passion for generating actionable business insights from data trends.",2021-12-07
5,Data Analyst Assistant,Women's Center & Shelter,"Pittsburgh, PA•Remote","The successful candidate will be an experienced data analyst, demonstrate strong attention to detail and organization, and be comfortable with self-learning.",2021-12-02
6,Analyst- Personalization Athlete Data (REMOTE),DICK'S Sporting Goods,"Pittsburgh, PA•Remote","Support campaign data governance, troubleshoot data, and understand data flows and transformations.
Work with Technology to enhance data capabilities and ensure…",2021-11-07
7,Data Entry Analyst,CorVel Corporation,"Richmond, VA 23173 (University Of Richmond area)•Remote",The Data Entry role is a very dynamic position where the associate will be supporting a critical part of Intake Operations for CorVel.,2021-11-30
8,Data Transparency Regulatory Document Analyst,Johnson & Johnson Family of Companies,United States+1 location•Remote,"At least 1 year of data transparency experience is preferred.
Demonstrated experience with data transparency projects; eg, for Health Canada redaction proposal…",2021-12-02
9,Data Analyst,Physical Impact Hawaii,United States+8 locations,"?Prepare customer statements, bills and invoices, and reconcile expenses to the general ledger.
? Work with collections personnel to verify status of delinquent…",2021-12-07
10,"Project Employee, Data Analyst",the NBA,"New York, NY 10022 (Midtown area)+1 location","Own data management projects (e.g. data standardization projects, SQL development, data mapping).
Detail oriented data background and exemplary analytical…",2021-11-08
11,Analyst - Procurement,American Eagle Outfitters,"Pittsburgh, PA","Ability to analyze data to understand trends and develop action plans.
REPORTS TO: Senior Category Manager, Non-Merchandise Procurement.",2021-11-30
12,Sr. Data Analyst (International),Royal Caribbean Group,United States+1 location,"Understanding of data warehousing concepts, relationship entity diagrams and relational databases.
Build intuitive presentations, interfaces, infographics, and…",2021-12-07
13,Data Analyst SP&R,Cisco Systems,"Honolulu, HI 96813 (Downtown area)+1 location","What You'll Do Analyze information from various data sources, both structured and unstructured data, to build new detection models for use in threat hunting…",2021-12-03
14,Data Analyst,3Cloud,Illinois•Remote,"Providing technical expertise in data storage structures, data mining, and data cleansing.
Work experience as a data analyst or in a related field.",2021-12-07
15,"Data Analyst with two years experience, Remote position","innoVet Health, LLC",Remote,As a data analyst you will turn project requirements into data reports and facilitate different aspects of the business intelligence process as needed …,2021-11-30
16,Healthcare Data Analyst,Compulink Healthcare Solutions,Remote,"Strong Advantage product knowledge with clear understanding of Compulink Medical Records screens, data fields and databases.
2 years college or equivalent.",2021-12-02
17,[],Quartz Events,California,"Ability to analyze and summarize a situation quickly, synthesize large amounts of data into easily digestible formats, and recognize patterns/trends and produce…",2021-12-03
18,"Analyst I/II, Data Science",Liberty Mutual Insurance,+1 locationRemote,A successful applicant is expected to be able to collaborate with business partners to develop predictive analytic solutions that enable data-driven strategic…,2021-11-23
19,Data Coordinator & Analyst,UPMC,"Pittsburgh, PA 15222 (Central Business District area)","Run weekly and monthly QC reports to check data accuracy.
Accurately enter data from a variety of sources into the database.",2021-12-03
20,Data Analyst,PetrosoftLLC,"Pittsburgh, PA","Proven working experience as a data analyst.
The main duties include identifying, gathering, analyzing data and making their insights accessible to the company…",2021-11-07
21,Data Analyst,Craneware,Remote,"Working experience as a data analyst, business data analyst, programmer, or a demonstrated aptitude for the role.",2021-12-02
22,"Data Analyst, Facilities (Remote Work)",Vanderbilt University,United States+2 locations•Remote,"Must be highly analytical, detail-oriented, and have a passion for generating actionable business insights from data trends.",2021-12-07
23,Data Analyst Assistant,Women's Center & Shelter,"Pittsburgh, PA•Remote","The successful candidate will be an experienced data analyst, demonstrate strong attention to detail and organization, and be comfortable with self-learning.",2021-12-02
24,Analyst- Personalization Athlete Data (REMOTE),DICK'S Sporting Goods,"Pittsburgh, PA•Remote","Support campaign data governance, troubleshoot data, and understand data flows and transformations.
Work with Technology to enhance data capabilities and ensure…",2021-11-07
25,Data Entry Analyst,CorVel Corporation,"Richmond, VA 23173 (University Of Richmond area)•Remote",The Data Entry role is a very dynamic position where the associate will be supporting a critical part of Intake Operations for CorVel.,2021-11-30
26,Data Transparency Regulatory Document Analyst,Johnson & Johnson Family of Companies,United States+1 location•Remote,"At least 1 year of data transparency experience is preferred.
Demonstrated experience with data transparency projects; eg, for Health Canada redaction proposal…",2021-12-02
27,Senior Healthcare Data Analyst,RNa Partners,Remote,"3-5 years of experience in healthcare data statistics, clinical quality assessment, outcomes reporting, and care management.",2021-11-29
28,Data Analyst,Physical Impact Hawaii,United States+8 locations,"?Prepare customer statements, bills and invoices, and reconcile expenses to the general ledger.
? Work with collections personnel to verify status of delinquent…",2021-12-07
29,"Project Employee, Data Analyst",the NBA,"New York, NY 10022 (Midtown area)+1 location","Own data management projects (e.g. data standardization projects, SQL development, data mapping).
Detail oriented data background and exemplary analytical…",2021-11-08
,job_title,company_name,company_location,job_description,date_posted
0,[],Fastline Marketing Group,+1 locationRemote,"We are seeking an experienced data analyst to deliver insightful data to power our systems and solutions.
Analyze data for trends and patterns and interpret…",2021-11-19
1,Data Systems Analyst,Computershare,United States•Remote,"Collecting and reviewing data files, including Sale Files, Prefund Files and Loan Substitution Files to ensure Loan Accounting, Inventory Management and…",2021-11-07
2,Data Coordinator & Analyst,UPMC,"Pittsburgh, PA 15222 (Central Business District area)","Run weekly and monthly QC reports to check data accuracy.
Accurately enter data from a variety of sources into the database.",2021-12-03
3,Data Analyst I,UPMC,"Pittsburgh, PA 15213 (North Oakland area)+6 locations","This involves maintaining raw data files, verifying, and editing data and working with the centers to resolve incomplete and inaccurate data forms.",2021-12-01
4,"Analyst I/II, Data Science",Liberty Mutual Insurance,+1 locationRemote,A successful applicant is expected to be able to collaborate with business partners to develop predictive analytic solutions that enable data-driven strategic…,2021-11-23
5,Data Analyst,PetrosoftLLC,"Pittsburgh, PA","Proven working experience as a data analyst.
The main duties include identifying, gathering, analyzing data and making their insights accessible to the company…",2021-11-07
